student_answer,teacher_answer,label,question_id,q_answer,q_answer_ordered,q_stopwords,q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered
You can touch those 2 wires together to contract electricity.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,2 can contract electricity those to together touch wires you,touch 2 wires contract electricity,2 contract electricity touch wires,touch 2 wire contract electr,2 contract electr touch wire,touch 2 wire contract electricity,2 contract electricity touch wire
Lee can put the object in the middle of the wires hanging down. Then you put the wires against the sides of the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,1,10,He could not because the 2 wires need to be touching.,against can down hanging in lee middle object object of of put put sides the the the the the the then wires wires you,lee object middle wires hanging wires sides object,hanging lee middle object object sides wires wires,lee object middl wire hang wire side object,hang lee middl object object side wire wire,lee object middle wire hanging wire side object,hanging lee middle object object side wire wire
It will work.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,it will work,work,work,work,work,work,work
By putting the wires together.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,by putting the together wires,putting wires,putting wires,put wire,put wire,putting wire,putting wire
He could get a light bulb and try it out or he could get another battery.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,a and another battery bulb could could get get he he it light or out try,light bulb try battery,battery bulb light try,light bulb tri batteri,batteri bulb light tri,light bulb try battery,battery bulb light try
You can turn it on.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,can it on turn you,turn,turn,turn,turn,turn,turn
By connecting 2 wires together.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,2 by connecting together wires,connecting 2 wires,2 connecting wires,connect 2 wire,2 connect wire,connecting 2 wire,2 connecting wire
He can use the circuit by seeing if the object does anything if it works it is a conductor if it does not then it is an insulator.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,a an anything by can circuit conductor does does he if if if insulator is is it it it it not object seeing the the then use works,use circuit seeing object works conductor insulator,circuit conductor insulator object seeing use works,use circuit see object work conductor insul,circuit conductor insul object see use work,use circuit seeing object work conductor insulator,circuit conductor insulator object seeing use work
Connect the 2 wires to a light bulb.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,2 a bulb connect light the to wires,connect 2 wires light bulb,2 bulb connect light wires,connect 2 wire light bulb,2 bulb connect light wire,connect 2 wire light bulb,2 bulb connect light wire
He can use the circuit to see if it will start to work.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,can circuit he if it see start the to to use will work,use circuit start work,circuit start use work,use circuit start work,circuit start use work,use circuit start work,circuit start use work
He can put the 2 wires at the bottom of the picture together and the things will start to move.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,2 and at bottom can he move of picture put start the the the the things to together will wires,2 wires picture things start,2 picture start things wires,2 wire pictur thing start,2 pictur start thing wire,2 wire picture thing start,2 picture start thing wire
He can use the circuit to test the object because all he needs to do is put the ends of wire together.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,all because can circuit do ends he he is needs object of put test the the the to to together use wire,use circuit test object needs ends wire,circuit ends needs object test use wire,use circuit test object need end wire,circuit end need object test use wire,use circuit test object need end wire,circuit end need object test use wire
He can use the circuit to test the object because the circuit will help the thing do what it is supposed to do.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,because can circuit circuit do do he help is it object supposed test the the the the thing to to use what will,use circuit test object circuit help thing supposed,circuit circuit help object supposed test thing use,use circuit test object circuit help thing suppos,circuit circuit help object suppos test thing use,use circuit test object circuit help thing supposed,circuit circuit help object supposed test thing use
He can use it by putting it to an object and see if the meter will run.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,an and by can he if it it meter object putting run see the to use will,use putting object meter run,meter object putting run use,use put object meter run,meter object put run use,use putting object meter run,meter object putting run use
Start putting the wires on something and see if the motor will go put it to a metal and it might make the motor go.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,a and and go go if it it make metal might motor motor on put putting see something start the the the to will wires,start putting wires motor metal motor,metal motor motor putting start wires,start put wire motor metal motor,metal motor motor put start wire,start putting wire motor metal motor,metal motor motor putting start wire
The 2 wires from the switch board and the D-cell. You take the wires and put them up to something and if the motor run it conducts electricity.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,1,10,He could not because the 2 wires need to be touching.,2 and and and board conducts dcell electricity from if it motor put run something switch take the the the the the them to up wires wires you,2 wires switch board dcell wires motor run conducts electricity,2 board conducts dcell electricity motor run switch wires wires,2 wire switch board dcell wire motor run conduct electr,2 board conduct dcell electr motor run switch wire wire,2 wire switch board dcell wire motor run conduct electricity,2 board conduct dcell electricity motor run switch wire wire
He can put the 2 wires that are connected to the circuit and put it touching something.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,1,10,He could not because the 2 wires need to be touching.,2 and are can circuit connected he it put put something that the the to touching wires,2 wires connected circuit touching,2 circuit connected touching wires,2 wire connect circuit touch,2 circuit connect touch wire,2 wire connected circuit touching,2 circuit connected touching wire
You have to put the object between the 2 wires.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,1,10,He could not because the 2 wires need to be touching.,2 between have object put the the to wires you,object 2 wires,2 object wires,object 2 wire,2 object wire,object 2 wire,2 object wire
Lee can test some things on this objects and see if it works.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,and can if it lee objects on see some test things this works,lee test things objects works,lee objects test things works,lee test thing object work,lee object test thing work,lee test thing object work,lee object test thing work
Put it on something metal or a screw or a desk.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,a a desk it metal on or or put screw something,metal screw desk,desk metal screw,metal screw desk,desk metal screw,metal screw desk,desk metal screw
You can put it between the 2 wires if it makes the motor work but if it does not then it is an insulator.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,1,10,He could not because the 2 wires need to be touching.,2 an between but can does if if insulator is it it it it makes motor not put the the then wires work you,2 wires makes motor work insulator,2 insulator makes motor wires work,2 wire make motor work insul,2 insul make motor wire work,2 wire make motor work insulator,2 insulator make motor wire work
She can put the wire to the other half of the D-cell and the switch and make it work.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,and and can dcell half it make of other put she switch the the the the to wire work,wire half dcell switch work,dcell half switch wire work,wire half dcell switch work,dcell half switch wire work,wire half dcell switch work,dcell half switch wire work
"To run the motor use metal, but fabric will not work on it.",Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,0,10,He could not because the 2 wires need to be touching.,but fabric it metal motor not on run the to use will work,run motor use metal fabric work,fabric metal motor run use work,run motor use metal fabric work,fabric metal motor run use work,run motor use metal fabric work,fabric metal motor run use work
Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,1,10,He could not because the 2 wires need to be touching.,and and another circuit completes if lee loose loose object object object of of of on on one one other part part put see should the the the the the the wire wires,lee loose wires object loose wire object object completes circuit,circuit completes lee loose loose object object object wire wires,lee loos wire object loos wire object object complet circuit,circuit complet lee loos loos object object object wire wire,lee loose wire object loose wire object object completes circuit,circuit completes lee loose loose object object object wire wire
