wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_solut,q_stemmed_has_concentr,q_stemmed_has_2,q_stemmed_has_spoon,q_stemmed_has_50,q_stemmed_has_millilit,q_stemmed_has_4,q_stemmed_has_100,q_stemmed_has_mass,q_stemmed_has_solut_concentr,q_stemmed_has_concentr_2,q_stemmed_has_2_spoon,q_stemmed_has_spoon_50,q_stemmed_has_50_millilit,q_stemmed_has_millilit_4,q_stemmed_has_4_spoon,q_stemmed_has_spoon_100,q_stemmed_has_100_millilit,q_stemmed_has_millilit_mass,q_stemmed_has_solut_concentr_2,q_stemmed_has_concentr_2_spoon,q_stemmed_has_2_spoon_50,q_stemmed_has_spoon_50_millilit,q_stemmed_has_50_millilit_4,q_stemmed_has_millilit_4_spoon,q_stemmed_has_4_spoon_100,q_stemmed_has_spoon_100_millilit,q_stemmed_has_100_millilit_mass,q_stem_ordered_has_100,q_stem_ordered_has_2,q_stem_ordered_has_4,q_stem_ordered_has_50,q_stem_ordered_has_concentr,q_stem_ordered_has_mass,q_stem_ordered_has_millilit,q_stem_ordered_has_solut,q_stem_ordered_has_spoon,q_stem_ordered_has_100_2,q_stem_ordered_has_2_4,q_stem_ordered_has_4_50,q_stem_ordered_has_50_concentr,q_stem_ordered_has_concentr_mass,q_stem_ordered_has_mass_millilit,q_stem_ordered_has_millilit_millilit,q_stem_ordered_has_millilit_solut,q_stem_ordered_has_solut_spoon,q_stem_ordered_has_spoon_spoon,q_stem_ordered_has_100_2_4,q_stem_ordered_has_2_4_50,q_stem_ordered_has_4_50_concentr,q_stem_ordered_has_50_concentr_mass,q_stem_ordered_has_concentr_mass_millilit,q_stem_ordered_has_mass_millilit_millilit,q_stem_ordered_has_millilit_millilit_solut,q_stem_ordered_has_millilit_solut_spoon,q_stem_ordered_has_solut_spoon_spoon
0.375,0.46153846153846156,0.15384615384615385,0.2722,0.46153846153846156,0.15384615384615385,0.2722,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.4375,0.7,0.6,0.7559,0.7,0.6,0.7559,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.5,0.75,0.5,0.6667,0.75,0.5,0.6667,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.625,0.5,0.4,0.5963,0.5,0.4,0.5963,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.125,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,0.38461538461538464,0.07692307692307693,0.1491,0.38461538461538464,0.07692307692307693,0.1491,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.1,0.0,0.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1875,0.2727272727272727,0.09090909090909091,0.1925,0.2727272727272727,0.09090909090909091,0.1925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.2727272727272727,0.09090909090909091,0.1925,0.2727272727272727,0.09090909090909091,0.1925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4375,0.6666666666666666,0.4166666666666667,0.5893,0.6666666666666666,0.4166666666666667,0.5893,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.8,0.4,0.5774,0.8,0.4,0.5774,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1
0.5625,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0.6923076923076923,0.38461538461538464,0.5556,0.6923076923076923,0.38461538461538464,0.5556,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1875,0.2727272727272727,0.09090909090909091,0.1925,0.2727272727272727,0.09090909090909091,0.1925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.2727272727272727,0.09090909090909091,0.1925,0.2727272727272727,0.09090909090909091,0.1925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0625,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1875,0.2727272727272727,0.09090909090909091,0.1925,0.2727272727272727,0.09090909090909091,0.1925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5625,0.7272727272727273,0.5454545454545454,0.7071,0.7272727272727273,0.5454545454545454,0.7071,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
0.0625,0.2,0.1,0.2357,0.2,0.1,0.2357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4375,0.6153846153846154,0.3076923076923077,0.4714,0.6153846153846154,0.3076923076923077,0.4714,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.35714285714285715,0.0,0.0,0.35714285714285715,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.3333333333333333,0.08333333333333333,0.1667,0.3333333333333333,0.08333333333333333,0.1667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.625,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
