wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_fruitsnap,q_stemmed_has_contain,q_stemmed_has_littl,q_stemmed_has_vitamin,q_stemmed_has_c,q_stemmed_has_chang,q_stemmed_has_color,q_stemmed_has_indophenol,q_stemmed_has_fruitsnap_contain,q_stemmed_has_contain_littl,q_stemmed_has_littl_vitamin,q_stemmed_has_vitamin_c,q_stemmed_has_c_fruitsnap,q_stemmed_has_fruitsnap_chang,q_stemmed_has_chang_color,q_stemmed_has_color_indophenol,q_stemmed_has_fruitsnap_contain_littl,q_stemmed_has_contain_littl_vitamin,q_stemmed_has_littl_vitamin_c,q_stemmed_has_vitamin_c_fruitsnap,q_stemmed_has_c_fruitsnap_chang,q_stemmed_has_fruitsnap_chang_color,q_stemmed_has_chang_color_indophenol,q_stem_ordered_has_c,q_stem_ordered_has_chang,q_stem_ordered_has_color,q_stem_ordered_has_contain,q_stem_ordered_has_fruitsnap,q_stem_ordered_has_indophenol,q_stem_ordered_has_littl,q_stem_ordered_has_vitamin,q_stem_ordered_has_c_chang,q_stem_ordered_has_chang_color,q_stem_ordered_has_color_contain,q_stem_ordered_has_contain_fruitsnap,q_stem_ordered_has_fruitsnap_fruitsnap,q_stem_ordered_has_fruitsnap_indophenol,q_stem_ordered_has_indophenol_littl,q_stem_ordered_has_littl_vitamin,q_stem_ordered_has_c_chang_color,q_stem_ordered_has_chang_color_contain,q_stem_ordered_has_color_contain_fruitsnap,q_stem_ordered_has_contain_fruitsnap_fruitsnap,q_stem_ordered_has_fruitsnap_fruitsnap_indophenol,q_stem_ordered_has_fruitsnap_indophenol_littl,q_stem_ordered_has_indophenol_littl_vitamin
0.375,0.5,0.5,0.7071,0.5,0.5,0.7071,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.375,0.5,0.5,0.7071,0.5,0.5,0.7071,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.625,0.75,0.75,0.866,0.75,0.75,0.866,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0.375,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0.6363636363636364,0.36363636363636365,0.5345,0.6363636363636364,0.36363636363636365,0.5345,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0.875,0.875,0.9354,0.875,0.875,0.9354,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
0.125,0.25,0.25,0.5,0.25,0.25,0.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.375,0.375,0.6124,0.375,0.375,0.6124,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.625,0.4444444444444444,0.3333333333333333,0.5303,0.4444444444444444,0.3333333333333333,0.5303,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.25,0.3333333333333333,0.2222222222222222,0.4082,0.3333333333333333,0.2222222222222222,0.4082,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.25,0.25,0.5,0.25,0.25,0.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.625,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.3,0.1,0.2041,0.3,0.1,0.2041,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,0.4444444444444444,0.3333333333333333,0.5303,0.4444444444444444,0.3333333333333333,0.5303,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.625,0.6,0.4,0.5774,0.6,0.4,0.5774,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.25,0.25,0.5,0.25,0.25,0.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.625,0.625,0.7906,0.625,0.625,0.7906,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0.375,0.5,0.5,0.7071,0.5,0.5,0.7071,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.375,0.36363636363636365,0.09090909090909091,0.1768,0.36363636363636365,0.09090909090909091,0.1768,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.3333333333333333,0.2222222222222222,0.4082,0.3333333333333333,0.2222222222222222,0.4082,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5555555555555556,0.4444444444444444,0.6325,0.5555555555555556,0.4444444444444444,0.6325,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,0.3,0.4743,0.5,0.3,0.4743,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.25,0.25,0.5,0.25,0.25,0.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
