student_answer,teacher_answer,label,question_id,q_answer,q_answer_ordered,q_stopwords,q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered
Sammy - Because those are all different materials.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",all are because different materials sammy those,sammy different materials,different materials sammy,sammi differ materi,differ materi sammi,sammy different material,different material sammy
Nathaniel - Because plastic and metal make different noises than just wood.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and because different just make metal nathaniel noises plastic than wood,nathaniel plastic metal different noises wood,different metal nathaniel noises plastic wood,nathaniel plastic metal differ nois wood,differ metal nathaniel nois plastic wood,nathaniel plastic metal different noise wood,different metal nathaniel noise plastic wood
Sammy's idea - Because using things all made of wood would be harder to discriminate.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",all be because discriminate harder idea made of sammys things to using wood would,sammys idea things wood harder discriminate,discriminate harder idea sammys things wood,sammi idea thing wood harder discrimin,discrimin harder idea sammi thing wood,sammys idea thing wood harder discriminate,discriminate harder idea sammys thing wood
"Sammy - Because plastic, metal, and wood has different sounds and just wood would make the same sound.",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and and because different has just make metal plastic same sammy sound sounds the wood wood would,sammy plastic metal wood different sounds wood sound,different metal plastic sammy sound sounds wood wood,sammi plastic metal wood differ sound wood sound,differ metal plastic sammi sound sound wood wood,sammy plastic metal wood different sound wood sound,different metal plastic sammy sound sound wood wood
Sammy - Because if you used blocks made of plastic metal and wood because it would make a differing noise so it would be easier to know.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",a and be because because blocks differing easier if it it know made make metal noise of plastic sammy so to used wood would would you,sammy blocks plastic metal wood differing noise easier know,blocks differing easier know metal noise plastic sammy wood,sammi block plastic metal wood differ nois easier know,block differ easier know metal nois plastic sammi wood,sammy block plastic metal wood differing noise easier know,block differing easier know metal noise plastic sammy wood
Sammy - Because if you have different objects for different words it would make more sense.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",because different different for have if it make more objects sammy sense words would you,sammy different objects different words sense,different different objects sammy sense words,sammi differ object differ word sens,differ differ object sammi sens word,sammy different object different word sense,different different object sammy sense word
Nathaniel - Because a big triangle block would sound the same as a little square block.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",a a as because big block block little nathaniel same sound square the triangle would,nathaniel big triangle block sound little square block,big block block little nathaniel sound square triangle,nathaniel big triangl block sound littl squar block,big block block littl nathaniel sound squar triangl,nathaniel big triangle block sound little square block,big block block little nathaniel sound square triangle
Sammy's - Because they sound different.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",because different sammys sound they,sammys sound different,different sammys sound,sammi sound differ,differ sammi sound,sammys sound different,different sammys sound
Sammy - Because wood blocks of different shapes and sizes would sound the same so Sammy's is better.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and because better blocks different is of same sammy sammys shapes sizes so sound the wood would,sammy wood blocks different shapes sizes sound sammys better,better blocks different sammy sammys shapes sizes sound wood,sammi wood block differ shape size sound sammi better,better block differ sammi sammi shape size sound wood,sammy wood block different shape size sound sammys better,better block different sammy sammys shape size sound wood
Sammy - Because you could get down easy.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",because could down easy get sammy you,sammy easy,easy sammy,sammi easi,easi sammi,sammy easy,easy sammy
Nathaniel - Because it is all the same thing.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",all because is it nathaniel same the thing,nathaniel thing,nathaniel thing,nathaniel thing,nathaniel thing,nathaniel thing,nathaniel thing
Sammy - Because you need difference thing.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",because difference need sammy thing you,sammy need difference thing,difference need sammy thing,sammi need differ thing,differ need sammi thing,sammy need difference thing,difference need sammy thing
Sammy - Because you know that metal and wood and plastic is better than Nathaniel.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and and because better is know metal nathaniel plastic sammy than that wood you,sammy know metal wood plastic better nathaniel,better know metal nathaniel plastic sammy wood,sammi know metal wood plastic better nathaniel,better know metal nathaniel plastic sammi wood,sammy know metal wood plastic better nathaniel,better know metal nathaniel plastic sammy wood
Sammy - Because Nathaniel is not the same sizes and Sammy's will.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and because is nathaniel not same sammy sammys sizes the will,sammy nathaniel sizes sammys,nathaniel sammy sammys sizes,sammi nathaniel size sammi,nathaniel sammi sammi size,sammy nathaniel size sammys,nathaniel sammy sammys size
"Sammy - I think that it would be easier to to tell apart plastic metal, and wood because metal makes a metallic sound plastic makes a clicky sound and wood blocks make a bangy sound.",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",a a a and and apart bangy be because blocks clicky easier i it make makes makes metal metal metallic plastic plastic sammy sound sound sound tell that think to to wood wood would,sammy think easier tell apart plastic metal wood metal makes metallic sound plastic makes clicky sound wood blocks bangy sound,apart bangy blocks clicky easier makes makes metal metal metallic plastic plastic sammy sound sound sound tell think wood wood,sammi think easier tell apart plastic metal wood metal make metal sound plastic make clicki sound wood block bangi sound,apart bangi block clicki easier make make metal metal metal plastic plastic sammi sound sound sound tell think wood wood,sammy think easier tell apart plastic metal wood metal make metallic sound plastic make clicky sound wood block bangy sound,apart bangy block clicky easier make make metal metal metallic plastic plastic sammy sound sound sound tell think wood wood
Sammy's - The all wood would just sound the same.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",all just same sammys sound the the wood would,sammys wood sound,sammys sound wood,sammi wood sound,sammi sound wood,sammys wood sound,sammys sound wood
Sammy - Why I think Sammy's idea is better because you can tell if you drop metal in the.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",because better can drop i idea if in is metal sammy sammys tell the think why you you,sammy think sammys idea better tell drop metal,better drop idea metal sammy sammys tell think,sammi think sammi idea better tell drop metal,better drop idea metal sammi sammi tell think,sammy think sammys idea better tell drop metal,better drop idea metal sammy sammys tell think
"Sammy - Sammy's method because if we use wood blocks of different sizes then some of the block could sound the same and wood, metal, plastic sound different.",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,1,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and because block blocks could different different if metal method of of plastic same sammy sammys sizes some sound sound the the then use we wood wood,sammy sammys method use wood blocks different sizes block sound wood metal plastic sound different,block blocks different different metal method plastic sammy sammys sizes sound sound use wood wood,sammi sammi method use wood block differ size block sound wood metal plastic sound differ,block block differ differ metal method plastic sammi sammi size sound sound use wood wood,sammy sammys method use wood block different size block sound wood metal plastic sound different,block block different different metal method plastic sammy sammys size sound sound use wood wood
Nathaniel - Because Nathaniel wants to put blocks of different sizes and it will make a different sound by the length.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",a and because blocks by different different it length make nathaniel nathaniel of put sizes sound the to wants will,nathaniel nathaniel wants blocks different sizes different sound length,blocks different different length nathaniel nathaniel sizes sound wants,nathaniel nathaniel want block differ size differ sound length,block differ differ length nathaniel nathaniel size sound want,nathaniel nathaniel want block different size different sound length,block different different length nathaniel nathaniel size sound want
Sammy - Sammy's idea would be much more easier because if you did it with shapes and sizes it would be hard to hear.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and be be because did easier hard hear idea if it it more much sammy sammys shapes sizes to with would would you,sammy sammys idea easier shapes sizes hard hear,easier hard hear idea sammy sammys shapes sizes,sammi sammi idea easier shape size hard hear,easier hard hear idea sammi sammi shape size,sammy sammys idea easier shape size hard hear,easier hard hear idea sammy sammys shape size
"Sammy's - Nathaniel's idea would not work because it is the same material, wood that would make the same sound. Sammy's idea would work because there is different materials.",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",because because different idea idea is is it make material materials nathaniels not same same sammys sammys sound that the the there wood work work would would would,sammys nathaniels idea work material wood sound sammys idea work different materials,different idea idea material materials nathaniels sammys sammys sound wood work work,sammi nathaniel idea work materi wood sound sammi idea work differ materi,differ idea idea materi materi nathaniel sammi sammi sound wood work work,sammys nathaniels idea work material wood sound sammys idea work different material,different idea idea material material nathaniels sammys sammys sound wood work work
"Sammy - Because metal, wood and plastic make different sounds.",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and because different make metal plastic sammy sounds wood,sammy metal wood plastic different sounds,different metal plastic sammy sounds wood,sammi metal wood plastic differ sound,differ metal plastic sammi sound wood,sammy metal wood plastic different sound,different metal plastic sammy sound wood
Sammy's - Because Sammy's idea uses different materials with different sounds. But Nathaniel uses the same materials with the same sounds.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",because but different different idea materials materials nathaniel same same sammys sammys sounds sounds the the uses uses with with,sammys sammys idea uses different materials different sounds nathaniel uses materials sounds,different different idea materials materials nathaniel sammys sammys sounds sounds uses uses,sammi sammi idea use differ materi differ sound nathaniel use materi sound,differ differ idea materi materi nathaniel sammi sammi sound sound use use,sammys sammys idea us different material different sound nathaniel us material sound,different different idea material material nathaniel sammys sammys sound sound us us
"Sammy - Because plastic, metal, and wood is different.",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and because different is metal plastic sammy wood,sammy plastic metal wood different,different metal plastic sammy wood,sammi plastic metal wood differ,differ metal plastic sammi wood,sammy plastic metal wood different,different metal plastic sammy wood
