student_answer,teacher_answer,label,question_id,q_answer,q_answer_ordered,q_stopwords,q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered
"Wendy should get a D-cell and hook it up to the insulated wire and get a switch and hook some wires up to that, then she should get little washers and put them somewhere. Then you have an electromagnet.",Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a a an and and and and dcell electromagnet get get get have hook hook insulated it little put she should should some somewhere switch that the them then then to to up up washers wendy wire wires you,wendy dcell hook insulated wire switch hook wires little washers electromagnet,dcell electromagnet hook hook insulated little switch washers wendy wire wires,wendi dcell hook insul wire switch hook wire littl washer electromagnet,dcell electromagnet hook hook insul littl switch washer wendi wire wire,wendy dcell hook insulated wire switch hook wire little washer electromagnet,dcell electromagnet hook hook insulated little switch washer wendy wire wire
Wendy should connect all the wires then to see if it works Wendy can try to pick up some washers.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,all can connect if it pick see should some the then to to try up washers wendy wendy wires works,wendy connect wires works wendy try pick washers,connect pick try washers wendy wendy wires works,wendi connect wire work wendi tri pick washer,connect pick tri washer wendi wendi wire work,wendy connect wire work wendy try pick washer,connect pick try washer wendy wendy wire work
Wendy should connect the insulated wire to a D-cell and a switch and that will be a complete circuit and it will attract iron or steel.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a a a and and and attract be circuit complete connect dcell insulated iron it or should steel switch that the to wendy will will wire,wendy connect insulated wire dcell switch complete circuit attract iron steel,attract circuit complete connect dcell insulated iron steel switch wendy wire,wendi connect insul wire dcell switch complet circuit attract iron steel,attract circuit complet connect dcell insul iron steel switch wendi wire,wendy connect insulated wire dcell switch complete circuit attract iron steel,attract circuit complete connect dcell insulated iron steel switch wendy wire
She should attach a switch to one side of the wire and attach the other to the D-cell. Attach another wire to the D-cell and switch.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a and and another attach attach attach dcell dcell of one other she should side switch switch the the the the to to to wire wire,attach switch wire attach dcell attach wire dcell switch,attach attach attach dcell dcell switch switch wire wire,attach switch wire attach dcell attach wire dcell switch,attach attach attach dcell dcell switch switch wire wire,attach switch wire attach dcell attach wire dcell switch,attach attach attach dcell dcell switch switch wire wire
Connect the wire to a D-cell and connect the wire to a switch and turn it on.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a a and and connect connect dcell it on switch the the to to turn wire wire,connect wire dcell connect wire switch turn,connect connect dcell switch turn wire wire,connect wire dcell connect wire switch turn,connect connect dcell switch turn wire wire,connect wire dcell connect wire switch turn,connect connect dcell switch turn wire wire
Wendy should plug in the electromagnet.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,electromagnet in plug should the wendy,wendy plug electromagnet,electromagnet plug wendy,wendi plug electromagnet,electromagnet plug wendi,wendy plug electromagnet,electromagnet plug wendy
"Wendy will get a battery and connect the wires to the battery, get a battery holder.",Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a a and battery battery battery connect get get holder the the to wendy will wires,wendy battery connect wires battery battery holder,battery battery battery connect holder wendy wires,wendi batteri connect wire batteri batteri holder,batteri batteri batteri connect holder wendi wire,wendy battery connect wire battery battery holder,battery battery battery connect holder wendy wire
Connect it to a battery.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a battery connect it to,connect battery,battery connect,connect batteri,batteri connect,connect battery,battery connect
Then Wendy should get another piece of wire and wrap it around the nail also then connect the other end of the wire to a negative and a positive.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a a also and and another around connect end get it nail negative of of other piece positive should the the the then then to wendy wire wire wrap,wendy piece wire wrap nail connect end wire negative positive,connect end nail negative piece positive wendy wire wire wrap,wendi piec wire wrap nail connect end wire neg posit,connect end nail neg piec posit wendi wire wire wrap,wendy piece wire wrap nail connect end wire negative positive,connect end nail negative piece positive wendy wire wire wrap
Hook the wires to both sides of a battery.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a battery both hook of sides the to wires,hook wires sides battery,battery hook sides wires,hook wire side batteri,batteri hook side wire,hook wire side battery,battery hook side wire
She needs a D-cell and washers.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,a and dcell needs she washers,needs dcell washers,dcell needs washers,need dcell washer,dcell need washer,need dcell washer,dcell need washer
Wendy should connect the long wire to the battery next.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,battery connect long next should the the to wendy wire,wendy connect long wire battery,battery connect long wendy wire,wendi connect long wire batteri,batteri connect long wendi wire,wendy connect long wire battery,battery connect long wendy wire
Wendy needs to get little washers and stick the iron to the washer.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,and get iron little needs stick the the to to washer washers wendy,wendy needs little washers stick iron washer,iron little needs stick washer washers wendy,wendi need littl washer stick iron washer,iron littl need stick washer washer wendi,wendy need little washer stick iron washer,iron little need stick washer washer wendy
She would need a switch then she would turn on the switch she would also need a D-cell.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,a a also dcell need need on she she she switch switch the then turn would would would,need switch turn switch need dcell,dcell need need switch switch turn,need switch turn switch need dcell,dcell need need switch switch turn,need switch turn switch need dcell,dcell need need switch switch turn
Connect the wire to the D-cell and turn it on.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,and connect dcell it on the the to turn wire,connect wire dcell turn,connect dcell turn wire,connect wire dcell turn,connect dcell turn wire,connect wire dcell turn,connect dcell turn wire
She needs a D-cell to make it run.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,a dcell it make needs run she to,needs dcell run,dcell needs run,need dcell run,dcell need run,need dcell run,dcell need run
Connect the wires to a battery or power source.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a battery connect or power source the to wires,connect wires battery power source,battery connect power source wires,connect wire batteri power sourc,batteri connect power sourc wire,connect wire battery power source,battery connect power source wire
Hook it up to the D-cell then to the stick.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,dcell hook it stick the the then to to up,hook dcell stick,dcell hook stick,hook dcell stick,dcell hook stick,hook dcell stick,dcell hook stick
To complete the circuit she needs to connect both ends of the wire to both end of a D-cell. You can use a switch.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a a both both can circuit complete connect dcell end ends needs of of she switch the the to to to use wire you,complete circuit needs connect ends wire end dcell use switch,circuit complete connect dcell end ends needs switch use wire,complet circuit need connect end wire end dcell use switch,circuit complet connect dcell end end need switch use wire,complete circuit need connect end wire end dcell use switch,circuit complete connect dcell end end need switch use wire
Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a and battery battery dcell dcell end end hook negative of of of one other positive should side side the the the the the to to wendy wire,wendy hook end wire negative dcell battery end positive dcell battery,battery battery dcell dcell end end hook negative positive wendy wire,wendi hook end wire neg dcell batteri end posit dcell batteri,batteri batteri dcell dcell end end hook neg posit wendi wire,wendy hook end wire negative dcell battery end positive dcell battery,battery battery dcell dcell end end hook negative positive wendy wire
