wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_boat,q_stemmed_has_0,q_stemmed_has_marbl,q_stemmed_has_standard,q_stemmed_has_experi,q_stemmed_has_boat_0,q_stemmed_has_0_marbl,q_stemmed_has_marbl_standard,q_stemmed_has_standard_experi,q_stemmed_has_boat_0_marbl,q_stemmed_has_0_marbl_standard,q_stemmed_has_marbl_standard_experi,q_stem_ordered_has_0,q_stem_ordered_has_boat,q_stem_ordered_has_experi,q_stem_ordered_has_marbl,q_stem_ordered_has_standard,q_stem_ordered_has_0_boat,q_stem_ordered_has_boat_experi,q_stem_ordered_has_experi_marbl,q_stem_ordered_has_marbl_standard,q_stem_ordered_has_0_boat_experi,q_stem_ordered_has_boat_experi_marbl,q_stem_ordered_has_experi_marbl_standard
0.42857142857142855,0.6666666666666666,0.5,0.6708,0.6666666666666666,0.5,0.6708,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
0.14285714285714285,0.4,0.4,0.6325,0.4,0.4,0.6325,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.2,0.2,0.4472,0.2,0.2,0.4472,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.7142857142857142,0.75,0.375,0.5477,0.75,0.375,0.5477,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0.14285714285714285,0.4,0.4,0.6325,0.4,0.4,0.6325,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.4,0.4,0.6325,0.4,0.4,0.6325,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0.42857142857142855,0.6666666666666666,0.5,0.6708,0.6666666666666666,0.5,0.6708,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
0.42857142857142855,0.5,0.125,0.2236,0.5,0.125,0.2236,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.7142857142857142,0.6666666666666666,0.2222222222222222,0.3651,0.6666666666666666,0.2222222222222222,0.3651,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0.42857142857142855,0.5,0.125,0.2236,0.5,0.125,0.2236,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2857142857142857,0.6,0.6,0.7746,0.6,0.6,0.7746,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0.42857142857142855,0.4444444444444444,0.0,0.0,0.4444444444444444,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
