wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_cotyledon,q_stemmed_has_provid,q_stemmed_has_food,q_stemmed_has_plant,q_stemmed_has_cotyledon_provid,q_stemmed_has_provid_food,q_stemmed_has_food_plant,q_stemmed_has_plant_plant,q_stemmed_has_plant_food,q_stemmed_has_cotyledon_provid_food,q_stemmed_has_provid_food_plant,q_stemmed_has_food_plant_plant,q_stemmed_has_plant_plant_food,q_stem_ordered_has_cotyledon,q_stem_ordered_has_food,q_stem_ordered_has_plant,q_stem_ordered_has_provid,q_stem_ordered_has_cotyledon_food,q_stem_ordered_has_food_food,q_stem_ordered_has_food_plant,q_stem_ordered_has_plant_plant,q_stem_ordered_has_plant_provid,q_stem_ordered_has_cotyledon_food_food,q_stem_ordered_has_food_food_plant,q_stem_ordered_has_food_plant_plant,q_stem_ordered_has_plant_plant_provid
0.2,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0.8,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.6,0.4,0.5774,0.6,0.4,0.5774,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.6000000000000001,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1.0000000000000002,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
0.4000000000000001,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.6,0.4,0.5774,0.6,0.4,0.5774,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.2,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
