wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_flood,q_stemmed_has_water,q_stemmed_has_creek,q_stemmed_has_flow,q_stemmed_has_faster,q_stemmed_has_flood_water,q_stemmed_has_water_creek,q_stemmed_has_creek_water,q_stemmed_has_water_flow,q_stemmed_has_flow_faster,q_stemmed_has_flood_water_creek,q_stemmed_has_water_creek_water,q_stemmed_has_creek_water_flow,q_stemmed_has_water_flow_faster,q_stem_ordered_has_creek,q_stem_ordered_has_faster,q_stem_ordered_has_flood,q_stem_ordered_has_flow,q_stem_ordered_has_water,q_stem_ordered_has_creek_faster,q_stem_ordered_has_faster_flood,q_stem_ordered_has_flood_flow,q_stem_ordered_has_flow_water,q_stem_ordered_has_water_water,q_stem_ordered_has_creek_faster_flood,q_stem_ordered_has_faster_flood_flow,q_stem_ordered_has_flood_flow_water,q_stem_ordered_has_flow_water_water
0.49999999999999994,0.7777777777777778,0.3333333333333333,0.5071,0.7777777777777778,0.3333333333333333,0.5071,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
0.21428571428571425,0.8333333333333334,0.6666666666666666,0.8,0.8333333333333334,0.6666666666666666,0.8,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0
0.42857142857142855,0.7,0.2,0.3381,0.7,0.2,0.3381,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
0.9285714285714286,0.8181818181818182,0.2727272727272727,0.4472,0.8181818181818182,0.2727272727272727,0.4472,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0
0.2857142857142857,0.75,0.375,0.5477,0.75,0.375,0.5477,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
0.2857142857142857,0.6,0.1,0.1826,0.6,0.1,0.1826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.07142857142857142,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.35714285714285715,0.8571428571428571,0.5714285714285714,0.7303,0.8571428571428571,0.5714285714285714,0.7303,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0
0.42857142857142855,0.75,0.375,0.5477,0.75,0.375,0.5477,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
0.21428571428571425,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.5714285714285714,0.2857142857142857,0.4472,0.5714285714285714,0.2857142857142857,0.4472,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.75,0.375,0.5477,0.75,0.375,0.5477,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
0.6428571428571428,0.8181818181818182,0.2727272727272727,0.4472,0.8181818181818182,0.2727272727272727,0.4472,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0
0.21428571428571425,0.8333333333333334,0.6666666666666666,0.8,0.8333333333333334,0.6666666666666666,0.8,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0
0.0,0.4,0.4,0.6325,0.4,0.4,0.6325,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.5714285714285714,0.8888888888888888,0.4444444444444444,0.6325,0.8888888888888888,0.4444444444444444,0.6325,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0
0.14285714285714285,0.5,0.125,0.2236,0.5,0.125,0.2236,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.75,0.375,0.5477,0.75,0.375,0.5477,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
0.21428571428571425,0.625,0.25,0.4,0.625,0.25,0.4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.21428571428571425,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
0.21428571428571425,0.5,0.125,0.2236,0.5,0.125,0.2236,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.7142857142857142,1.0,0.5555555555555556,0.7454,1.0,0.5555555555555556,0.7454,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0
0.21428571428571425,0.5555555555555556,0.1111111111111111,0.2,0.5555555555555556,0.1111111111111111,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0
0.42857142857142855,0.8571428571428571,0.5714285714285714,0.7303,0.8571428571428571,0.5714285714285714,0.7303,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0
0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
