q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered,wordcount,sentence_count,s_similarity,normal_g_similarity,normal_j_similarity,normal_c_similarity,normal_ordered_g_similarity,normal_ordered_j_similarity,normal_ordered_c_similarity,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,lem_g_similarity,lem_j_similarity,lem_c_similarity,lem_ordered_g_similarity,lem_ordered_j_similarity,lem_ordered_c_similarity,q_answer_has_the,q_answer_has_food,q_answer_has_contains,q_answer_has_sugar,q_answer_has_the_food,q_answer_has_food_contains,q_answer_has_contains_sugar,q_answer_has_the_food_contains,q_answer_has_food_contains_sugar,q_answer_ordered_has_contains,q_answer_ordered_has_food,q_answer_ordered_has_sugar,q_answer_ordered_has_the,q_answer_ordered_has_contains_food,q_answer_ordered_has_food_sugar,q_answer_ordered_has_sugar_the,q_answer_ordered_has_contains_food_sugar,q_answer_ordered_has_food_sugar_the,q_stopwords_has_food,q_stopwords_has_contains,q_stopwords_has_sugar,q_stopwords_has_food_contains,q_stopwords_has_contains_sugar,q_stopwords_has_food_contains_sugar,q_stopwords_ordered_has_contains,q_stopwords_ordered_has_food,q_stopwords_ordered_has_sugar,q_stopwords_ordered_has_contains_food,q_stopwords_ordered_has_food_sugar,q_stopwords_ordered_has_contains_food_sugar,q_stemmed_has_food,q_stemmed_has_contain,q_stemmed_has_sugar,q_stemmed_has_food_contain,q_stemmed_has_contain_sugar,q_stemmed_has_food_contain_sugar,q_stem_ordered_has_contain,q_stem_ordered_has_food,q_stem_ordered_has_sugar,q_stem_ordered_has_contain_food,q_stem_ordered_has_food_sugar,q_stem_ordered_has_contain_food_sugar,q_lemm_has_food,q_lemm_has_contains,q_lemm_has_sugar,q_lemm_has_food_contains,q_lemm_has_contains_sugar,q_lemm_has_food_contains_sugar,q_lemm_ordered_has_contains,q_lemm_ordered_has_food,q_lemm_ordered_has_sugar,q_lemm_ordered_has_contains_food,q_lemm_ordered_has_food_sugar,q_lemm_ordered_has_contains_food_sugar
acid,acid,acid,acid,acid,0.0,0.0,0.4380228746342367,0.5,0.0,0.0,0.42857142857142855,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food indicates sugar,indic sugar food,food indic sugar,indicates sugar food,food indicates sugar,0.33333333333333337,0.0,1.00000004401529,0.5,0.0,0.0,0.8888888888888888,0.3333333333333333,0.5303,0.75,0.5,0.6667,0.75,0.5,0.6667,0.75,0.5,0.6667,0.75,0.5,0.6667,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
food indicates sugar,indic sugar food,food indic sugar,indicates sugar food,food indicates sugar,0.33333333333333337,0.0,1.00000004401529,0.5,0.0,0.0,0.8,0.2,0.3536,0.75,0.5,0.6667,0.75,0.5,0.6667,0.75,0.5,0.6667,0.75,0.5,0.6667,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
food indicates sugar,indic sugar food,food indic sugar,indicates sugar food,food indicates sugar,0.33333333333333337,0.0,1.00000004401529,0.5,0.0,0.0,0.8888888888888888,0.3333333333333333,0.5303,0.75,0.5,0.6667,0.75,0.5,0.6667,0.75,0.5,0.6667,0.75,0.5,0.6667,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
acid means product sugar,mean acid sugar product,acid mean product sugar,mean acid sugar product,acid mean product sugar,0.5,0.0,0.7530544879409949,0.5,0.0,0.0,0.8571428571428571,0.14285714285714285,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
food indicates,indic food,food indic,indicates food,food indicates,0.16666666666666666,0.0,0.8499028621758172,0.5,0.0,0.0,0.6666666666666666,0.1111111111111111,0.2041,0.5,0.25,0.4082,0.5,0.25,0.4082,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
food indicates sugar,indic sugar food,food indic sugar,indicates sugar food,food indicates sugar,0.33333333333333337,0.0,1.00000004401529,0.5,0.0,0.0,0.8888888888888888,0.3333333333333333,0.5303,0.75,0.5,0.6667,0.75,0.5,0.6667,0.75,0.5,0.6667,0.75,0.5,0.6667,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
food indicates sugar,indic sugar food,food indic sugar,indicates sugar food,food indicates sugar,0.33333333333333337,0.0,1.00000004401529,0.5,0.0,0.0,0.9,0.3,0.5,0.75,0.5,0.6667,0.75,0.5,0.6667,0.75,0.5,0.6667,0.75,0.5,0.6667,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
indicates sugar sugar test,indic sugar test sugar,indic sugar sugar test,indicates sugar test sugar,indicates sugar sugar test,0.5,0.0,0.8462875359302886,0.5,0.0,0.0,0.7857142857142857,0.07142857142857142,0.1508,0.6,0.2,0.3333,0.6,0.2,0.3333,0.6,0.2,0.3333,0.6,0.2,0.3333,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
acid lot probably,probabl lot acid,acid lot probabl,probably lot acid,acid lot probably,0.33333333333333337,0.0,0.5164057770304241,0.5,0.0,0.0,0.6363636363636364,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carbon dioxide indicates,indic carbon dioxid,carbon dioxid indic,indicates carbon dioxide,carbon dioxide indicates,0.33333333333333337,0.0,0.37757701833318336,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acid c lot vitamin,lot acid vitamin c,acid c lot vitamin,lot acid vitamin c,acid c lot vitamin,0.5,0.0,0.5702129616945685,0.5,0.0,0.0,0.7142857142857143,0.0,0.0,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food sugar,sugar food,food sugar,sugar food,food sugar,0.16666666666666666,0.0,1.00000004401529,0.5,0.0,0.0,0.875,0.375,0.5669,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0
acid lot sugar,lot acid sugar,acid lot sugar,lot acid sugar,acid lot sugar,0.33333333333333337,0.0,0.7728907959024098,0.5,0.0,0.0,0.75,0.08333333333333333,0.1667,0.6,0.2,0.3333,0.6,0.2,0.3333,0.6,0.2,0.3333,0.6,0.2,0.3333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
carbon dioxide indicates reaction,reaction indic carbon dioxid,carbon dioxid indic reaction,reaction indicates carbon dioxide,carbon dioxide indicates reaction,0.5,0.0,0.4180393135045141,0.5,0.0,0.0,0.7272727272727273,0.09090909090909091,0.1768,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chemical indicates reaction sugar,chemic reaction indic sugar,chemic indic reaction sugar,chemical reaction indicates sugar,chemical indicates reaction sugar,0.5,0.0,0.729091693674471,0.5,0.0,0.0,0.7142857142857143,0.2857142857142857,0.4472,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
acid indicates present sugar yeast,acid present yeast indic sugar,acid indic present sugar yeast,acid present yeast indicates sugar,acid indicates present sugar yeast,0.6666666666666666,0.0,0.7718518595466284,0.5,0.0,0.0,0.7272727272727273,0.09090909090909091,0.1768,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
carbon dioxide food sugar,food sugar carbon dioxid,carbon dioxid food sugar,food sugar carbon dioxide,carbon dioxide food sugar,0.5,0.0,0.804823915721979,0.5,0.0,0.0,0.9090909090909091,0.2727272727272727,0.4743,0.8,0.4,0.5774,0.8,0.4,0.5774,0.8,0.4,0.5774,0.8,0.4,0.5774,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0
acid indicates,indic acid,acid indic,indicates acid,acid indicates,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.7,0.1,0.189,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acid contains indicates reaction yeast,reaction indic yeast contain acid,acid contain indic reaction yeast,reaction indicates yeast contains acid,acid contains indicates reaction yeast,0.6666666666666666,0.0,0.5350696436936911,0.5,0.0,0.0,0.7777777777777778,0.2222222222222222,0.378,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
hot indicates sugar tested water,test sugar indic water hot,hot indic sugar test water,tested sugar indicates water hot,hot indicates sugar tested water,0.6666666666666666,0.0,0.8368410849362533,0.5,0.0,0.0,0.8666666666666667,0.13333333333333333,0.2774,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
carbon chemical dioxide indicated sugar,chemic indic carbon dioxid sugar,carbon chemic dioxid indic sugar,chemical indicated carbon dioxide sugar,carbon chemical dioxide indicated sugar,0.6666666666666666,0.0,0.6520275216093703,0.5,0.0,0.0,0.7777777777777778,0.2222222222222222,0.378,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
indicates sugar,indic sugar,indic sugar,indicates sugar,indicates sugar,0.16666666666666666,0.0,0.8760421661434287,0.5,0.0,0.0,0.7,0.1,0.189,0.5,0.25,0.4082,0.5,0.25,0.4082,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
chemical food indicates reaction sugar,chemic reaction indic sugar food,chemic food indic reaction sugar,chemical reaction indicates sugar food,chemical food indicates reaction sugar,0.6666666666666666,0.0,0.8578065814579372,0.5,0.0,0.0,0.9090909090909091,0.2727272727272727,0.4743,0.8333333333333334,0.3333333333333333,0.5164,0.8333333333333334,0.3333333333333333,0.5164,0.8333333333333334,0.3333333333333333,0.5164,0.8333333333333334,0.3333333333333333,0.5164,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
food lot probably sugar sugar tested,food test lot sugar probabl sugar,food lot probabl sugar sugar test,food tested lot sugar probably sugar,food lot probably sugar sugar tested,0.8333333333333334,0.0,0.9432734412544133,0.5,0.0,0.0,0.9411764705882353,0.17647058823529413,0.375,0.8333333333333334,0.3333333333333333,0.5164,0.8333333333333334,0.3333333333333333,0.5164,0.8333333333333334,0.3333333333333333,0.5164,0.8333333333333334,0.3333333333333333,0.5164,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
chemical food indicates presence reaction sample sugar,chemic reaction indic sugar presenc sampl food,chemic food indic presenc reaction sampl sugar,chemical reaction indicates sugar presence sample food,chemical food indicates presence reaction sample sugar,0.9999999999999999,0.0,0.7926368220993921,0.5,0.0,0.0,0.9333333333333333,0.2,0.4009,0.875,0.25,0.4364,0.875,0.25,0.4364,0.875,0.25,0.4364,0.875,0.25,0.4364,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
contains food sugar,food contain sugar,contain food sugar,food contains sugar,contains food sugar,0.33333333333333337,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
