wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_root,q_stemmed_has_grow,q_stemmed_has_water,q_stemmed_has_plant,q_stemmed_has_root_grow,q_stemmed_has_grow_root,q_stemmed_has_root_water,q_stemmed_has_water_plant,q_stemmed_has_root_grow_root,q_stemmed_has_grow_root_water,q_stemmed_has_root_water_plant,q_stem_ordered_has_grow,q_stem_ordered_has_plant,q_stem_ordered_has_root,q_stem_ordered_has_water,q_stem_ordered_has_grow_plant,q_stem_ordered_has_plant_root,q_stem_ordered_has_root_root,q_stem_ordered_has_root_water,q_stem_ordered_has_grow_plant_root,q_stem_ordered_has_plant_root_root,q_stem_ordered_has_root_root_water
0.4444444444444445,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0.6666666666666665,0.875,0.375,0.5669,0.875,0.375,0.5669,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.6,0.4,0.5774,0.6,0.4,0.5774,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.4444444444444445,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
0.6666666666666665,0.7,0.1,0.189,0.7,0.1,0.189,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1111111111111111,0.4,0.2,0.3536,0.4,0.2,0.3536,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1111111111111111,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.1111111111111111,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.1111111111111111,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.6666666666666665,0.8571428571428571,0.42857142857142855,0.6124,0.8571428571428571,0.42857142857142855,0.6124,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0
0.1111111111111111,0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.1111111111111111,0.4,0.2,0.3536,0.4,0.2,0.3536,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.4,0.2,0.3536,0.4,0.2,0.3536,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0.6666666666666665,1.0,0.5714285714285714,0.7559,1.0,0.5714285714285714,0.7559,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
0.5555555555555556,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
1.0,0.9,0.3,0.5,0.9,0.3,0.5,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
0.6666666666666665,1.0,0.6666666666666666,0.8165,1.0,0.6666666666666666,0.8165,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
0.2222222222222222,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.1111111111111111,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.4,0.2,0.3536,0.4,0.2,0.3536,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.6,0.4,0.5774,0.6,0.4,0.5774,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.4444444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
