wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_brass,q_stemmed_has_ring,q_stemmed_has_stick,q_stemmed_has_nail,q_stemmed_has_iron,q_stemmed_has_temporari,q_stemmed_has_magnet,q_stemmed_has_brass_ring,q_stemmed_has_ring_stick,q_stemmed_has_stick_nail,q_stemmed_has_nail_ring,q_stemmed_has_ring_iron,q_stemmed_has_iron_nail,q_stemmed_has_nail_temporari,q_stemmed_has_temporari_magnet,q_stemmed_has_magnet_brass,q_stemmed_has_brass_temporari,q_stemmed_has_magnet_stick,q_stemmed_has_stick_magnet,q_stemmed_has_brass_ring_stick,q_stemmed_has_ring_stick_nail,q_stemmed_has_stick_nail_ring,q_stemmed_has_nail_ring_iron,q_stemmed_has_ring_iron_nail,q_stemmed_has_iron_nail_temporari,q_stemmed_has_nail_temporari_magnet,q_stemmed_has_temporari_magnet_brass,q_stemmed_has_magnet_brass_temporari,q_stemmed_has_brass_temporari_magnet,q_stemmed_has_temporari_magnet_stick,q_stemmed_has_magnet_stick_magnet,q_stem_ordered_has_brass,q_stem_ordered_has_iron,q_stem_ordered_has_magnet,q_stem_ordered_has_nail,q_stem_ordered_has_ring,q_stem_ordered_has_stick,q_stem_ordered_has_temporari,q_stem_ordered_has_brass_brass,q_stem_ordered_has_brass_iron,q_stem_ordered_has_iron_magnet,q_stem_ordered_has_magnet_magnet,q_stem_ordered_has_magnet_nail,q_stem_ordered_has_nail_nail,q_stem_ordered_has_nail_ring,q_stem_ordered_has_ring_ring,q_stem_ordered_has_ring_stick,q_stem_ordered_has_stick_stick,q_stem_ordered_has_stick_temporari,q_stem_ordered_has_temporari_temporari,q_stem_ordered_has_brass_brass_iron,q_stem_ordered_has_brass_iron_magnet,q_stem_ordered_has_iron_magnet_magnet,q_stem_ordered_has_magnet_magnet_magnet,q_stem_ordered_has_magnet_magnet_nail,q_stem_ordered_has_magnet_nail_nail,q_stem_ordered_has_nail_nail_ring,q_stem_ordered_has_nail_ring_ring,q_stem_ordered_has_ring_ring_stick,q_stem_ordered_has_ring_stick_stick,q_stem_ordered_has_stick_stick_temporari,q_stem_ordered_has_stick_temporari_temporari
0.125,0.3333333333333333,0.1111111111111111,0.2182,0.3333333333333333,0.1111111111111111,0.2182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.625,0.5,0.6761,0.625,0.5,0.6761,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.625,0.5,0.6761,0.625,0.5,0.6761,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.375,0.25,0.4364,0.375,0.25,0.4364,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1875,0.5714285714285714,0.5714285714285714,0.7559,0.5714285714285714,0.5714285714285714,0.7559,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3125,0.5,0.08333333333333333,0.1543,0.5,0.08333333333333333,0.1543,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.42857142857142855,0.42857142857142855,0.6547,0.42857142857142855,0.42857142857142855,0.6547,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5625,0.7142857142857143,0.21428571428571427,0.3586,0.7142857142857143,0.21428571428571427,0.3586,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3125,0.5555555555555556,0.3333333333333333,0.5071,0.5555555555555556,0.3333333333333333,0.5071,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.375,0.6666666666666666,0.4444444444444444,0.6172,0.6666666666666666,0.4444444444444444,0.6172,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.125,0.3333333333333333,0.1111111111111111,0.2182,0.3333333333333333,0.1111111111111111,0.2182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1875,0.5714285714285714,0.5714285714285714,0.7559,0.5714285714285714,0.5714285714285714,0.7559,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.42857142857142855,0.42857142857142855,0.6547,0.42857142857142855,0.42857142857142855,0.6547,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.7857142857142857,0.2857142857142857,0.4558,0.7857142857142857,0.2857142857142857,0.4558,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.375,0.25,0.4364,0.375,0.25,0.4364,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1875,0.5,0.375,0.5669,0.5,0.375,0.5669,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.125,0.0,0.0,0.125,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1875,0.5,0.375,0.5669,0.5,0.375,0.5669,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.7272727272727273,0.36363636363636365,0.5345,0.7272727272727273,0.36363636363636365,0.5345,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0625,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.375,0.25,0.4364,0.375,0.25,0.4364,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0625,0.2857142857142857,0.2857142857142857,0.5345,0.2857142857142857,0.2857142857142857,0.5345,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.625,0.5,0.6761,0.625,0.5,0.6761,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.5555555555555556,0.3333333333333333,0.5071,0.5555555555555556,0.3333333333333333,0.5071,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4375,0.7,0.4,0.5714,0.7,0.4,0.5714,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.14285714285714285,0.378,0.14285714285714285,0.14285714285714285,0.378,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
