wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_ye,q_stemmed_has_solut,q_stemmed_has_satur,q_stemmed_has_temperatur,q_stemmed_has_concentr,q_stemmed_has_ye_solut,q_stemmed_has_solut_satur,q_stemmed_has_satur_temperatur,q_stemmed_has_temperatur_solut,q_stemmed_has_solut_concentr,q_stemmed_has_concentr_solut,q_stemmed_has_satur_solut,q_stemmed_has_ye_solut_satur,q_stemmed_has_solut_satur_temperatur,q_stemmed_has_satur_temperatur_solut,q_stemmed_has_temperatur_solut_concentr,q_stemmed_has_solut_concentr_solut,q_stemmed_has_concentr_solut_satur,q_stemmed_has_solut_satur_solut,q_stemmed_has_satur_solut_concentr,q_stem_ordered_has_concentr,q_stem_ordered_has_satur,q_stem_ordered_has_solut,q_stem_ordered_has_temperatur,q_stem_ordered_has_ye,q_stem_ordered_has_concentr_concentr,q_stem_ordered_has_concentr_satur,q_stem_ordered_has_satur_satur,q_stem_ordered_has_satur_solut,q_stem_ordered_has_solut_solut,q_stem_ordered_has_solut_temperatur,q_stem_ordered_has_temperatur_ye,q_stem_ordered_has_concentr_concentr_satur,q_stem_ordered_has_concentr_satur_satur,q_stem_ordered_has_satur_satur_solut,q_stem_ordered_has_satur_solut_solut,q_stem_ordered_has_solut_solut_solut,q_stem_ordered_has_solut_solut_temperatur,q_stem_ordered_has_solut_temperatur_ye
0.20000000000000004,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.6666666666666666,0.5,0.6708,0.6666666666666666,0.5,0.6708,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7000000000000001,0.6,0.1,0.1826,0.6,0.1,0.1826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.5,0.125,0.2236,0.5,0.125,0.2236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,0.7272727272727273,0.18181818181818182,0.3162,0.7272727272727273,0.18181818181818182,0.3162,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.5,0.125,0.2236,0.5,0.125,0.2236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5000000000000001,0.6,0.1,0.1826,0.6,0.1,0.1826,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.5454545454545454,0.0,0.0,0.5454545454545454,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7000000000000001,0.7272727272727273,0.18181818181818182,0.3162,0.7272727272727273,0.18181818181818182,0.3162,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.4,0.625,0.25,0.4,0.625,0.25,0.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20000000000000004,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.4,0.4,0.6325,0.4,0.4,0.6325,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.5,0.125,0.2236,0.5,0.125,0.2236,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
