wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_water,q_stemmed_has_flow,q_stemmed_has_downhil,q_stemmed_has_mountain,q_stemmed_has_valley,q_stemmed_has_water_flow,q_stemmed_has_flow_downhil,q_stemmed_has_downhil_mountain,q_stemmed_has_mountain_valley,q_stemmed_has_water_flow_downhil,q_stemmed_has_flow_downhil_mountain,q_stemmed_has_downhil_mountain_valley,q_stem_ordered_has_downhil,q_stem_ordered_has_flow,q_stem_ordered_has_mountain,q_stem_ordered_has_valley,q_stem_ordered_has_water,q_stem_ordered_has_downhil_flow,q_stem_ordered_has_flow_mountain,q_stem_ordered_has_mountain_valley,q_stem_ordered_has_valley_water,q_stem_ordered_has_downhil_flow_mountain,q_stem_ordered_has_flow_mountain_valley,q_stem_ordered_has_mountain_valley_water
0.75,0.75,0.375,0.5477,0.75,0.375,0.5477,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
0.75,0.625,0.25,0.4,0.625,0.25,0.4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.875,0.8,0.3,0.4743,0.8,0.3,0.4743,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0.5,0.5555555555555556,0.1111111111111111,0.2,0.5555555555555556,0.1111111111111111,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.875,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0.5,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
0.5,0.5555555555555556,0.1111111111111111,0.2,0.5555555555555556,0.1111111111111111,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.2,0.2,0.4472,0.2,0.2,0.4472,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.875,0.75,0.375,0.5477,0.75,0.375,0.5477,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0.75,0.7777777777777778,0.3333333333333333,0.5071,0.7777777777777778,0.3333333333333333,0.5071,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
0.5,0.625,0.25,0.4,0.625,0.25,0.4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.75,0.6363636363636364,0.09090909090909091,0.169,0.6363636363636364,0.09090909090909091,0.169,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.75,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
