wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_plant,q_stemmed_has_contain,q_stemmed_has_seed,q_stemmed_has_fruit,q_stemmed_has_plant_contain,q_stemmed_has_contain_seed,q_stemmed_has_seed_fruit,q_stemmed_has_plant_contain_seed,q_stemmed_has_contain_seed_fruit,q_stem_ordered_has_contain,q_stem_ordered_has_fruit,q_stem_ordered_has_plant,q_stem_ordered_has_seed,q_stem_ordered_has_contain_fruit,q_stem_ordered_has_fruit_plant,q_stem_ordered_has_plant_seed,q_stem_ordered_has_contain_fruit_plant,q_stem_ordered_has_fruit_plant_seed
0.0,0.25,0.25,0.5,0.25,0.25,0.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.8571428571428571,0.42857142857142855,0.6124,0.8571428571428571,0.42857142857142855,0.6124,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0.2857142857142857,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42857142857142855,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.42857142857142855,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.42857142857142855,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0.2857142857142857,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.42857142857142855,0.6,0.4,0.5774,0.6,0.4,0.5774,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.42857142857142855,0.8,0.6,0.75,0.8,0.6,0.75,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
0.14285714285714285,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.2857142857142857,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5714285714285714,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
0.5714285714285714,0.6,0.4,0.5774,0.6,0.4,0.5774,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0.14285714285714285,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.2857142857142857,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0.2857142857142857,0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0.42857142857142855,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
