wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_20,q_stemmed_has_centimet,q_stemmed_has_size,q_stemmed_has_10,q_stemmed_has_30,q_stemmed_has_temperatur,q_stemmed_has_chang,q_stemmed_has_contain,q_stemmed_has_6,q_stemmed_has_degre,q_stemmed_has_celsiu,q_stemmed_has_halfway,q_stemmed_has_20_centimet,q_stemmed_has_centimet_size,q_stemmed_has_size_10,q_stemmed_has_10_30,q_stemmed_has_30_centimet,q_stemmed_has_centimet_temperatur,q_stemmed_has_temperatur_chang,q_stemmed_has_chang_30,q_stemmed_has_centimet_contain,q_stemmed_has_contain_10,q_stemmed_has_10_centimet,q_stemmed_has_contain_6,q_stemmed_has_6_degre,q_stemmed_has_degre_celsiu,q_stemmed_has_celsiu_halfway,q_stemmed_has_20_centimet_size,q_stemmed_has_centimet_size_10,q_stemmed_has_size_10_30,q_stemmed_has_10_30_centimet,q_stemmed_has_30_centimet_temperatur,q_stemmed_has_centimet_temperatur_chang,q_stemmed_has_temperatur_chang_30,q_stemmed_has_chang_30_centimet,q_stemmed_has_30_centimet_contain,q_stemmed_has_centimet_contain_10,q_stemmed_has_contain_10_centimet,q_stemmed_has_10_centimet_contain,q_stemmed_has_centimet_contain_6,q_stemmed_has_contain_6_degre,q_stemmed_has_6_degre_celsiu,q_stemmed_has_degre_celsiu_halfway,q_stem_ordered_has_10,q_stem_ordered_has_20,q_stem_ordered_has_30,q_stem_ordered_has_6,q_stem_ordered_has_celsiu,q_stem_ordered_has_centimet,q_stem_ordered_has_chang,q_stem_ordered_has_contain,q_stem_ordered_has_degre,q_stem_ordered_has_halfway,q_stem_ordered_has_size,q_stem_ordered_has_temperatur,q_stem_ordered_has_10_10,q_stem_ordered_has_10_20,q_stem_ordered_has_20_30,q_stem_ordered_has_30_30,q_stem_ordered_has_30_6,q_stem_ordered_has_6_celsiu,q_stem_ordered_has_celsiu_centimet,q_stem_ordered_has_centimet_centimet,q_stem_ordered_has_centimet_chang,q_stem_ordered_has_chang_contain,q_stem_ordered_has_contain_contain,q_stem_ordered_has_contain_degre,q_stem_ordered_has_degre_halfway,q_stem_ordered_has_halfway_size,q_stem_ordered_has_size_temperatur,q_stem_ordered_has_10_10_20,q_stem_ordered_has_10_20_30,q_stem_ordered_has_20_30_30,q_stem_ordered_has_30_30_6,q_stem_ordered_has_30_6_celsiu,q_stem_ordered_has_6_celsiu_centimet,q_stem_ordered_has_celsiu_centimet_centimet,q_stem_ordered_has_centimet_centimet_centimet,q_stem_ordered_has_centimet_centimet_chang,q_stem_ordered_has_centimet_chang_contain,q_stem_ordered_has_chang_contain_contain,q_stem_ordered_has_contain_contain_degre,q_stem_ordered_has_contain_degre_halfway,q_stem_ordered_has_degre_halfway_size,q_stem_ordered_has_halfway_size_temperatur
0.125,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4375,0.4375,0.1875,0.3273,0.4375,0.1875,0.3273,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0625,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5625,0.47368421052631576,0.10526315789473684,0.1925,0.47368421052631576,0.10526315789473684,0.1925,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.625,0.6470588235294118,0.35294117647058826,0.5222,0.6470588235294118,0.35294117647058826,0.5222,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.4375,0.5,0.35714285714285715,0.5455,0.5,0.35714285714285715,0.5455,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.9375,0.7391304347826086,0.2608695652173913,0.4201,0.7391304347826086,0.2608695652173913,0.4201,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4375,0.45,0.05,0.0962,0.45,0.05,0.0962,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,0.47058823529411764,0.17647058823529413,0.3062,0.47058823529411764,0.17647058823529413,0.3062,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.35294117647058826,0.058823529411764705,0.1179,0.35294117647058826,0.058823529411764705,0.1179,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5263157894736842,0.15789473684210525,0.2739,0.5263157894736842,0.15789473684210525,0.2739,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4375,0.5,0.25,0.4082,0.5,0.25,0.4082,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,0.375,0.125,0.2357,0.375,0.125,0.2357,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.4444444444444444,0.1111111111111111,0.2041,0.4444444444444444,0.1111111111111111,0.2041,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0625,0.21428571428571427,0.07142857142857142,0.1667,0.21428571428571427,0.07142857142857142,0.1667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1875,0.3333333333333333,0.13333333333333333,0.2582,0.3333333333333333,0.13333333333333333,0.2582,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6875,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
