wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_time,q_stemmed_has_increas,q_stemmed_has_speed,q_stemmed_has_light,q_stemmed_has_stay,q_stemmed_has_remain,q_stemmed_has_constant,q_stemmed_has_time_increas,q_stemmed_has_increas_speed,q_stemmed_has_speed_light,q_stemmed_has_light_stay,q_stemmed_has_stay_remain,q_stemmed_has_remain_constant,q_stemmed_has_time_increas_speed,q_stemmed_has_increas_speed_light,q_stemmed_has_speed_light_stay,q_stemmed_has_light_stay_remain,q_stemmed_has_stay_remain_constant,q_stem_ordered_has_constant,q_stem_ordered_has_increas,q_stem_ordered_has_light,q_stem_ordered_has_remain,q_stem_ordered_has_speed,q_stem_ordered_has_stay,q_stem_ordered_has_time,q_stem_ordered_has_constant_increas,q_stem_ordered_has_increas_light,q_stem_ordered_has_light_remain,q_stem_ordered_has_remain_speed,q_stem_ordered_has_speed_stay,q_stem_ordered_has_stay_time,q_stem_ordered_has_constant_increas_light,q_stem_ordered_has_increas_light_remain,q_stem_ordered_has_light_remain_speed,q_stem_ordered_has_remain_speed_stay,q_stem_ordered_has_speed_stay_time
0.375,0.5,0.375,0.5669,0.5,0.375,0.5669,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5,0.625,0.5,0.6761,0.625,0.5,0.6761,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
0.25,0.375,0.25,0.4364,0.375,0.25,0.4364,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.375,0.5,0.375,0.5669,0.5,0.375,0.5669,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5,0.625,0.5,0.6761,0.625,0.5,0.6761,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
0.125,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.625,0.5,0.6761,0.625,0.5,0.6761,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
0.625,0.5555555555555556,0.3333333333333333,0.5071,0.5555555555555556,0.3333333333333333,0.5071,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.125,0.25,0.125,0.2673,0.25,0.125,0.2673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.4,0.1,0.189,0.4,0.1,0.189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5555555555555556,0.3333333333333333,0.5071,0.5555555555555556,0.3333333333333333,0.5071,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5,0.625,0.5,0.6761,0.625,0.5,0.6761,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
0.5,0.625,0.5,0.6761,0.625,0.5,0.6761,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
0.375,0.4444444444444444,0.2222222222222222,0.378,0.4444444444444444,0.2222222222222222,0.378,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.625,0.6,0.3,0.4629,0.6,0.3,0.4629,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5,0.625,0.5,0.6761,0.625,0.5,0.6761,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
0.5,0.625,0.5,0.6761,0.625,0.5,0.6761,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
0.5,0.5,0.375,0.5669,0.5,0.375,0.5669,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5,0.7142857142857143,0.7142857142857143,0.8452,0.7142857142857143,0.7142857142857143,0.8452,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1
0.5,0.625,0.5,0.6761,0.625,0.5,0.6761,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
0.25,0.42857142857142855,0.42857142857142855,0.6547,0.42857142857142855,0.42857142857142855,0.6547,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.14285714285714285,0.378,0.14285714285714285,0.14285714285714285,0.378,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.42857142857142855,0.42857142857142855,0.6547,0.42857142857142855,0.42857142857142855,0.6547,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.75,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
