wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_car,q_stemmed_has_lot,q_stemmed_has_iron,q_stemmed_has_steel,q_stemmed_has_car_lot,q_stemmed_has_lot_iron,q_stemmed_has_iron_steel,q_stemmed_has_car_lot_iron,q_stemmed_has_lot_iron_steel,q_stem_ordered_has_car,q_stem_ordered_has_iron,q_stem_ordered_has_lot,q_stem_ordered_has_steel,q_stem_ordered_has_car_iron,q_stem_ordered_has_iron_lot,q_stem_ordered_has_lot_steel,q_stem_ordered_has_car_iron_lot,q_stem_ordered_has_iron_lot_steel
0.1,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0.4,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6000000000000001,0.7,0.1,0.189,0.7,0.1,0.189,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1,0.4,0.2,0.3536,0.4,0.2,0.3536,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.4,0.625,0.125,0.2236,0.625,0.125,0.2236,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.20000000000000004,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.30000000000000004,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6000000000000001,0.7,0.1,0.189,0.7,0.1,0.189,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.30000000000000004,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.30000000000000004,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6000000000000001,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
