wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_agre,q_stemmed_has_vibrat,q_stemmed_has_movement,q_stemmed_has_produc,q_stemmed_has_sound,q_stemmed_has_agre_vibrat,q_stemmed_has_vibrat_movement,q_stemmed_has_movement_vibrat,q_stemmed_has_vibrat_produc,q_stemmed_has_produc_sound,q_stemmed_has_agre_vibrat_movement,q_stemmed_has_vibrat_movement_vibrat,q_stemmed_has_movement_vibrat_produc,q_stemmed_has_vibrat_produc_sound,q_stem_ordered_has_agre,q_stem_ordered_has_movement,q_stem_ordered_has_produc,q_stem_ordered_has_sound,q_stem_ordered_has_vibrat,q_stem_ordered_has_agre_movement,q_stem_ordered_has_movement_produc,q_stem_ordered_has_produc_sound,q_stem_ordered_has_sound_vibrat,q_stem_ordered_has_vibrat_vibrat,q_stem_ordered_has_agre_movement_produc,q_stem_ordered_has_movement_produc_sound,q_stem_ordered_has_produc_sound_vibrat,q_stem_ordered_has_sound_vibrat_vibrat
0.5555555555555556,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1
0.5555555555555556,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
0.2222222222222222,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0.2222222222222222,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0.7777777777777777,0.75,0.375,0.5477,0.75,0.375,0.5477,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
0.3333333333333333,0.4444444444444444,0.0,0.0,0.4444444444444444,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0.7777777777777777,0.75,0.375,0.5477,0.75,0.375,0.5477,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1
0.2222222222222222,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.4444444444444445,0.6666666666666666,0.5,0.6708,0.6666666666666666,0.5,0.6708,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1
1.0,0.8181818181818182,0.2727272727272727,0.4472,0.8181818181818182,0.2727272727272727,0.4472,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.6666666666666665,0.625,0.25,0.4,0.625,0.25,0.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
0.2222222222222222,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0.4444444444444445,0.5,0.125,0.2236,0.5,0.125,0.2236,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.6666666666666665,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1
0.4444444444444445,0.625,0.25,0.4,0.625,0.25,0.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.6666666666666666,0.5,0.6708,0.6666666666666666,0.5,0.6708,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
0.1111111111111111,0.4,0.4,0.6325,0.4,0.4,0.6325,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.7777777777777777,0.8333333333333334,0.6666666666666666,0.8,0.8333333333333334,0.6666666666666666,0.8,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1
0.5555555555555556,0.75,0.375,0.5477,0.75,0.375,0.5477,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
0.4444444444444445,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
0.2222222222222222,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
