wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_tree,q_stemmed_has_block,q_stemmed_has_light,q_stemmed_has_sun,q_stemmed_has_tree_block,q_stemmed_has_block_light,q_stemmed_has_light_sun,q_stemmed_has_tree_block_light,q_stemmed_has_block_light_sun,q_stem_ordered_has_block,q_stem_ordered_has_light,q_stem_ordered_has_sun,q_stem_ordered_has_tree,q_stem_ordered_has_block_light,q_stem_ordered_has_light_sun,q_stem_ordered_has_sun_tree,q_stem_ordered_has_block_light_sun,q_stem_ordered_has_light_sun_tree
0.4444444444444445,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0.4444444444444445,0.625,0.125,0.2236,0.625,0.125,0.2236,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.3333333333333333,0.8,0.6,0.75,0.8,0.6,0.75,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
0.4444444444444445,0.8,0.6,0.75,0.8,0.6,0.75,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
0.3333333333333333,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7777777777777777,0.7,0.1,0.189,0.7,0.1,0.189,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.4444444444444445,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0.2222222222222222,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.8888888888888888,0.75,0.25,0.4082,0.75,0.25,0.4082,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0.6666666666666665,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1.0,0.875,0.375,0.5669,0.875,0.375,0.5669,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
0.3333333333333333,0.8,0.6,0.75,0.8,0.6,0.75,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0
0.5555555555555556,0.75,0.25,0.4082,0.75,0.25,0.4082,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0.2222222222222222,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0
0.3333333333333333,0.8,0.6,0.75,0.8,0.6,0.75,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0
0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.2222222222222222,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0.2222222222222222,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0.4444444444444445,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0
0.7777777777777777,1.0,0.5714285714285714,0.7559,1.0,0.5714285714285714,0.7559,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
0.5555555555555556,0.8571428571428571,0.42857142857142855,0.6124,0.8571428571428571,0.42857142857142855,0.6124,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0
0.4444444444444445,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
0.4444444444444445,1.0,0.8,0.8944,1.0,0.8,0.8944,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0
0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
