student_answer,teacher_answer,label,index
It is harder than X Y Z because we read about it this morning.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
It is harder than them.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
"It is harder than minerals X, Y, and Z because it cannot be scratched by either one.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,1,49
A topaz is compared to Z because it cannot be scratched with 2 thirds things. Y is all the opposite of topaz. X cannot be scratched with one third of a topaz cannot be scratched.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
The Topaz is the first hardest mineral out of the 3 on the chart.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
"Topaz is harder than all of them. It is just barely harder than Z, way harder than Y, and pretty harder than X.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
"Topaz is harder than X, Y, and Z because Topaz cannot be scratched by a fingernail, a penny, or a paperclip so it is the hardest.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,1,49
"Tied with mineral Y because they are both yes, yes, and yes.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
"Topaz would be all no's compared the minerals X, Y, and Z because topaz is one of the scratch free minerals.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
"Topaz is harder than minerals X, Y, and Z because Topaz cannot be scratched by a fingernail, penny or a paperclip. So it is harder.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,1,49
"It is a soft rock Z, I think it is the same as Y because they can both be scratched by everything. It is little bit hard to X.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
"Topaz is harder than X, Y, and Z because it cannot be scratched by a fingernail, a laser, or a paperclip.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,1,49
Topaz is the hardest out of all minerals because it did not get scratched by any tool.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,1,49
Like steel if you rub them and if it does not scratch.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
It is harder than all of the other minerals because it cannot get scratched by none of the scratching materials and all the other minerals can get scratched at least one time.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,1,49
"It is harder than X, Y, Z. I know it is harder than X, Y, and Z because nothing can scratch it.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,1,49
"Minerals X has 2 of them in a paperclip and penny. And the Y, Z and the minerals Y is the hardest in it.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
It is the hardest because it cannot be scratched by any of them and the others can be scratched with at least one of the minerals.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,1,49
Mineral Z can scratch topaz because mineral Z cannot be scratched by a penny or a fingernail but it can get scratched by a paperclip.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
"It is so strong that minerals X, Y, Z cannot break it.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
I know because when you break a rock that is when you know it is hard or not hard.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
"How it is compared to X, Y, and Z is that the finger and the penny cannot scratch mineral X and Z.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
I know it is Z because it has one yes and 2 no's.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
"Mineral Z cannot be scratched by penny, fingernail, and paperclip. Topaz cannot be scratched by anything.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
"Topaz has to have X, Y, Z as minerals.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
Because it is harder.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
I know because a fingernail cannot be scratched the most.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
"Topaz is the hardest because none of them can scratch it but at least one them can scratch X, Y, Z.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,1,49
Topaz would be the hardest because none of the tools could scratch it and at least one tool.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,1,49
Topaz would be hardest because none of the tools could scratch it and at least one tool could scratch X Y Z.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,1,49
It would be the hardest because none of the tools could scratch it.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,1,49
"Topaz would be hardest because none of the tools could scratch it and at least one tool could scratch X, Y, and Z.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,1,49
She can do a scratch test and see which one is harder.,Rub the minerals together and see which one scratches the other.,0,60
Scratch one against the other.,Rub the minerals together and see which one scratches the other.,1,60
Rub them together.,Rub the minerals together and see which one scratches the other.,0,60
By scratching them.,Rub the minerals together and see which one scratches the other.,0,60
Rubbing them together.,Rub the minerals together and see which one scratches the other.,0,60
Scratch them together.,Rub the minerals together and see which one scratches the other.,1,60
Scratch them against each other.,Rub the minerals together and see which one scratches the other.,1,60
Use her fingernail.,Rub the minerals together and see which one scratches the other.,0,60
A rock scratch.,Rub the minerals together and see which one scratches the other.,0,60
Use your fingernail.,Rub the minerals together and see which one scratches the other.,0,60
Scratch the 2 together.,Rub the minerals together and see which one scratches the other.,1,60
Scratch one against the other.,Rub the minerals together and see which one scratches the other.,1,60
She can use her nail and penny.,Rub the minerals together and see which one scratches the other.,0,60
Scratch them together.,Rub the minerals together and see which one scratches the other.,1,60
Georgia could rub them together.,Rub the minerals together and see which one scratches the other.,0,60
Scratch them together.,Rub the minerals together and see which one scratches the other.,1,60
Scratch the minerals together.,Rub the minerals together and see which one scratches the other.,1,60
From scratching with another minerals.,Rub the minerals together and see which one scratches the other.,0,60
She can scratch them together and the one with the mark is the soft one.,Rub the minerals together and see which one scratches the other.,1,60
She can scratch it together and look and see which leave a scratch.,Rub the minerals together and see which one scratches the other.,1,60
She could rub them together.,Rub the minerals together and see which one scratches the other.,0,60
Georgia could rub them together.,Rub the minerals together and see which one scratches the other.,1,60
She could rub them together.,Rub the minerals together and see which one scratches the other.,0,60
Scratch the 2 rocks together.,Rub the minerals together and see which one scratches the other.,1,60
By rubbing them together and touching them.,Rub the minerals together and see which one scratches the other.,0,60
With her nail.,Rub the minerals together and see which one scratches the other.,0,60
Rub them together.,Rub the minerals together and see which one scratches the other.,1,60
Rub them together.,Rub the minerals together and see which one scratches the other.,0,60
Rubbing them together.,Rub the minerals together and see which one scratches the other.,0,60
"She can rub them together and switch, if there is a mark on it and it goes away, it is hard.",Rub the minerals together and see which one scratches the other.,1,60
Rub them together to see if scratch the other.,Rub the minerals together and see which one scratches the other.,1,60
Rub them together.,Rub the minerals together and see which one scratches the other.,0,60
"Rub them together, see which will scratch the other.",Rub the minerals together and see which one scratches the other.,1,60
Rub them together and see if you can scratch it harder.,Rub the minerals together and see which one scratches the other.,1,60
Rub them together and see if one scratches the other.,Rub the minerals together and see which one scratches the other.,1,60
Rub them to see if one scratches the other.,Rub the minerals together and see which one scratches the other.,1,60
Because whichever one scratches is the hardest.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
Which one makes a deeper scratch.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
The other one that did not break is the hardest.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
See which one scratched the other.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
"One will scratch the other one. She should rub the scratch, too. That way she knows if it is a scratch or dust from the other mineral.","The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
First you take the black mineral and rub it against the brown mineral. Then see if you can wipe off the mark and if you can the brown one is harder and if you cannot the black one is harder.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
"She can rub the scratch. If it goes away, the black one is harder. If it stays there, the brown one is harder.","The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
The one with scratches or deeper scratches is weaker and the other rock is harder.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
When she rubs them together and the other one breaks the one that did not break is the hardest.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
Because it will break.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
Scratch test.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
The harder mineral will scratch the color off of the softer one.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
The one that make a mark. She should also see if stuff comes off when she scratches it.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
If she does scratch one on the other and one gets a mark that you can to rub off. Then you know the other one is harder.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
A penny.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
The one with a scratch.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
The mineral with no scratch is the hardest because the other one could not scratch it.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
The one that scratches the other.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
Whichever one gets scratched is the softest.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
Whichever one got scratched.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
Scratch them together.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
Whichever one that has more scratches.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
Because maybe something will come off.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
The one that does not break.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
By rubbing them together whichever one the chalky stuff comes off of is the hardness.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
The skin of the saltiest will come off.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
The one that does not have a scratch.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
The one who resists is the hardest.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
Because she can touch and see which is hard.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
If you see a mark that does not mean it is the softest. If it is pushed in that means it is the softest and the harder one there is nothing.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
The one with a scratch is not the hardest so the other mineral must be hardest.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
The one that crumbles the most.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",0,15
The harder mineral will leave a scratch on the less hard mineral.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
The harder will leave a scratch on the less hard mineral.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
The harder mineral will leave a scratch on the less hard mineral.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
The harder will leave a scratch on the other.,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",1,15
"He should put a rock and vinegar into a vial and if the rock has calcite, the water will turn murky.","Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
Cold pour in cup.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
"Put part of the broken rock in the cup. Then add vinegar. If it starts bubbling a lot, it has calcite.","Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",1,52
"He should put a mock rock in a cup of vinegar, and if there is bubbles there is calcite.","Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",1,52
"Put the water in the vial and put the calcite in, if the water starts getting murky and bubbles float to the top there is calcite.","Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
First find calcite put it in a vial. Second put vinegar in and let it sit. Third pour out the vinegar.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
He should put the rock or mineral in a cup and pour vinegar and if it bubble then it calcite.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",1,52
Because vinegar is cold acid is very into now.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
Phil should put the rock in the vial. Then put vinegar in then look for a lot of bubble then put in cold acid in to wait for a few days.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",1,52
He should put it in a vial with vinegar and then drop only the vinegar on later and when it is done there should be white crystals.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
He would observe the calcite. Look for calcite in rocks. And then when you think you found it put it in the water.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
He should put a rock in vinegar and look at it. If it bubbles it has calcite in it. That is what he should do.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",1,52
Put the rocks in a vial and see if they bubble.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
He should put vinegar in the vial and put then rock inside and look for bubbles.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",1,52
Phil should put the rock in the tube. Then put the vinegar in the tube cover the rocks and it should bubble.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",1,52
If he has a vial then he should get the rock or mineral in the vial and pour vinegar in the vial to see if he has vials.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
Put some vinegar in a vial but first put the rock inside then you will see bubbles going so so fast and you have to wait about 2 minutes and you will see it.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",1,52
"He should pour the acid on it, then if it has bubbles all over it is calcite.","Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",1,52
Put the cold acid and wait for it react.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
Get a rock and put it in a vial and pour acid into the vial. Wait a while and when a while is done look in the evaporating dish with your hand lens.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
Phil should pour the cold acid on the rock and if it fizzes it has calcite in it.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",1,52
The color and the want was like. And he can see the hot or cold. And measure and feel it all. And it is stuff.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
He would observe that there are bubbles.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
Put the calcite in the vinegar and you will see bubbles.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
"Vinegar, gas, mineral, rock.","Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
Because he should put the acid on the rock and see if it fizzes that means it is calcite.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",1,52
He can do the vinegar test the evaporation test and the hardness test.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
He should put the acid on the rock and observe for a reaction because calcite reacts with acid by making bubbles. So if the rock fizzes it has calcite in it.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",1,52
That what calcite to when it is in vinegar.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
Put the rock in vinegar.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
He would put the vinegar into a vial and put the rock in the vial and if it bubbles it is calcite.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",1,52
If it bubbles it has calcite.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
If you put the rock in vinegar it should fizzle if it has calcite.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",1,52
Put the rock in vinegar and see if it fills.,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",0,52
It if looks like salt then the salt is salt crystals. If it has lines in them it is calcite crystals.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
Calcite is straight lines.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
The calcite crystals have lines. Salt crystal have squares.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,1,20
The calcite crystals were lines and the salt crystals were pyramids and squares.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,1,20
You can tell them apart because the calcite is just lines. The salt crystals were pyramids and squares.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,1,20
"Calcite look like this the salt, drew picture, crystals look like this, drew picture.",The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
Salt crystals had an X on them and calcite crystals do not.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
The salt crystals look like squares.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
The salt crystals were square and the calcite had stripes.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
"When the crystals of the mock rock you could see them really good and with the minerals, calcite, they were hard to see.",The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
I know that crystals are different than salt crystals because the salt crystals do not have needle like structures.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
"They both have different crystals in them, the ones that are white are whiter than the calcite test crystals.",The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
"The calcite crystals looked liked small white needles, the salt crystals were small white globs and squares with Xs and diamonds.",The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,1,20
Well the vinegar if you beating a rock it will store bowl.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
The crystals were points and the salt crystal were Xs.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,1,20
The salt crystals have Xs and the others do not.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
One of them was whiter than the other and had more crystals.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
I can tell the difference because calcite crystals spread out and salt crystals look like squares.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
The salt crystals have Xs in them and the other ones look different.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
They are different because crystals from the calcite test are not minerals and the salt crystals are minerals.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
I can they are different because of their shape calcite crystals look like needles and salt had squares with Xs inside them.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,1,20
The salt crystals have little Xs and are square shape.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
Because the salt crystals were squares with Xs in them and the calcite crystals were and did not make shapes.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
The crystals have Xs inside when calcite has like white spot.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
The calcite can be white and crystals is black.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
Salt crystals had Xs and the crystals did not.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,0,20
